Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2022 Revenue/Yr,2021 Revenue/Yr,2020 Revenue/Yr,2019 Revenue/Yr,2021 % Sales Growth,2020 % Sales Growth,2019 % Sales Growth,2022 Employees,2021 Employees,2020 Employees,2019 Employees,2021 % Employee Growth,2020 % Employee Growth,2019 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source ,
"AtoZDatabases","08/27/2024","02/27/2025","Conifer Health Solutions LLC","","7624 Warren Pkwy","7624","","Warren","Pkwy","","Frisco","TX","75034","4158","Roger Davis","Roger","","Davis","Chief Executive Officer","Male","6,238","10,831","$1,000,000,000","7624 Warren Pkwy","7624","","Warren","Pkwy","","Frisco","TX","75034","4158","(469) 803-3000","N/A","N/A","Denton","100,000 to 249,999","Dallas-Fort Worth-Arlington, T","33.1110201","-96.8194046","","Health & Allied Services","Headquarters","","No","8099001","Health & Allied Services","8741001","Business Management","8641039","Business Support Services","","","","","","","","","","","","","","","621999","All Other Miscellaneous Ambulatory Health Care Services","561110","Office Administrative Services","813410","Civic and Social Organizations","","","","","","","","","","","","","","","No","500 or more","Public","No","50,000 or more","www.coniferhealth.com","No","2008","","","","0","1000000000","830000000","680600000","707824000","20.48","21.95","-3.85","10831","11914","12391","13011","-9.09","-3.85","-4.77","Roger","Davis","Chief Executive Officer","Male","Administration & Operations","Todd","Wyatt","Chief Financial Officer","Male","Administration & Operations","Arvind","Ramakrishnan","Chief Operating Officer","Male","Administration & Operations","Tom","Arnst","Executive Officer","Male","Administration & Operations","Matthew","Bayley","Executive Officer","Male","Strategic Planning & Business Development","Annie","Marchyok","Manager","Female","Administration & Operations","Amanda","Avella","Manager","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11140001612407","No","","Tenet Healthcare Corp","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Cambium Learning Group Inc","","17855 Dallas Pkwy Ste 400","17855","","Dallas","Pkwy","","Dallas","TX","75287","6857","Barbara Benson","Barbara","A","Benson","Chief Financial Officer","Female","310","","$158,184,000","17855 Dallas Pkwy Ste 400","17855","","Dallas","Pkwy","","Dallas","TX","75287","6857","(214) 932-9500","(734) 997-4944","(888) 399-1995","Collin","500,000 or more","Dallas-Fort Worth-Arlington, T","32.9933956","-96.829994","270587428","Schools & Educational Services","","","No","8299001","Schools & Educational Services","7372001","Software Publishers","8299073","Educational Program Services","7372004","Education, Reference, & Language Software","","","","","","","","","","","","","611699","All Other Miscellaneous Schools and Instruction","513210","Software Publishers","","","","","","","","","","","","","","","","","No","500 or more","Private","No","50,000 or more","www.cambiumlearning.com","No","","","","","0","158184000","132874560","134203306","122125008","19.05","-0.99","9.89","600","612","575","563","-1.96","6.43","2.13","Barbara","Benson","Chief Financial Officer","Female","Administration & Operations","Melissa","May","Executive Officer","Female","Administration & Operations","Aaron","Langley","Executive Officer","Male","Administration & Operations","Daniel","Graham","Executive Officer","Male","Administration & Operations","Brian","Anderson","Executive Officer","Male","Information Technology","Liza","Taube","Partner","Female","Legal","Katie","Chandler","Partner","Female","Legal","Brad","Keith","Controller","Male","Accounting & Finance","Austin","Belville","Manager","Male","Administration & Operations","Amy","Otis","Manager","Female","Administration & Operations","Tina","Goodwin","Manager","Female","Purchasing","Sheena","Butler","Manager","Female","Purchasing","Jeffery","McWhorter","Other Contacts","Male","Education","Jacob","Garr","Other Contacts","Male","Trades","Breanna","Jones","Other Contacts","Female","Trades","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11132545433127","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Smu Womens Center","","3140 Dyer St","3140","","Dyer","St","","Dallas","TX","75205","1977","Gerald Turner","Gerald","","Turner","President","Male","122","","$142,125,000","3140 Dyer St","3140","","Dyer","St","","Dallas","TX","75205","1977","(214) 768-4792","N/A","N/A","Dallas","500,000 or more","Dallas-Fort Worth-Arlington, T","32.8436205","-96.7833056","","Automobile Insurance Carriers","","","No","6331003","Automobile Insurance Carriers","8699001","Membership Organizations","6331001","Fire, Marine, & Casualty Insurance Carriers","6331008","Agricultural Insurance Carriers","","","","","","","","","","","","","813990","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","524126","Direct Property and Casualty Insurance Carriers","","","","","","","","","","","","","","","","","No","100 to 499","Private","No","10,000 to 49,999","www.smu.edu","No","2013","","","","100","114166000","105032720","93479121","85066000","8.7","12.36","9.89","98","92","86","97","6.52","6.98","-11.34","Gerald","Turner","President","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$25,000 to $99,999","$100,000 or more","$100,000 or more","$100,000 or more","$25,000 to $99,999","$100,000 or more","$25,000 to $99,999","$25,000 to $99,999","$100,000 or more","11140000532973","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Barbri Global","","12222 Merit Dr Ste 1340","12222","","Merit","Dr","","Dallas","TX","75251","3245","Alyssa Carrillo","Alyssa","","Carrillo","Executive Officer","Female","131","200","$58,000,000","12222 Merit Dr Ste 1340","12222","","Merit","Dr","","Dallas","TX","75251","3245","(888) 322-7274","N/A","(877) 385-6238","Dallas","500,000 or more","Dallas-Fort Worth-Arlington, T","32.914662","-96.771281","","Management Consulting Services","Headquarters","","No","8742001","Management Consulting Services","8299004","Tutoring Services","8742032","Education Consultants","","","","","","","","","","","","","","","541611","Administrative Management and General Management Consulting Services","611691","Exam Preparation and Tutoring","","","","","","","","","","","","","","","","","No","100 to 499","Private","No","10,000 to 49,999","www.barbri.com","No","1967","","","","0","58000000","55100000","49590000","44631000","5.26","11.11","11.11","200","196","202","200","2.04","-2.97","1.0","Alyssa","Carrillo","Executive Officer","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11140011311699","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Dallas Museum of Art","","1717 N Harwood St","1717","N","Harwood","St","","Dallas","TX","75201","2398","Amir Tabei","Amir","","Tabei","Chief Technology Officer Chief","Male","230","","$25,600,000","1717 N Harwood St","1717","N","Harwood","St","","Dallas","TX","75201","2398","(214) 922-1200","(214) 954-0174","N/A","Dallas","500,000 or more","Dallas-Fort Worth-Arlington, T","32.7882678","-96.8016584","","Museums","","","No","8412001","Museums","8231006","Special Library","8399039","Non-Profit Organizations","8412014","Art Museums","","","","","","","","","","","","","712110","Museums","519210","Libraries and Archives","813319","Other Social Advocacy Organizations","","","","","","","","","","","","","","","Yes","100 to 499","Private","No","10,000 to 49,999","www.dma.org","No","1903","","","","0","25600000","0","0","0","0.0","0.0","0.0","230","","","","0.0","0.0","0.0","Amir","Tabei","Chief Technology Officer Chief","Male","Information Technology","Amir","Tabei","Chief Technology Officer Chief Information Officer","Male","Information Technology","Walter","Elcock","President","Male","Administration & Operations","Agustin","Arteaga","Executive Officer","Male","Administration & Operations","Jacqueline","Allen","Executive Officer","Female","Administration & Operations","Emily","Hogrefe-Ribeiro","Manager","Female","Administration & Operations","Andi","Orkin","Manager","Male","Human Resources","Jay","Gates","Manager","Male","Administration & Operations","Jenny","Stone","Other Contacts","Female","Library","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11132555268888","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Armstrong RW & Associate Inc","R W Armstrong & Assoc Inc","901 S Mopac Expy Ste III110","901","S","Mopac","Expy","","Austin","TX","78746","5948","Rick Crider","Rick","","Crider","Executive Officer","Male","12","","$11,565,000","","","","","","","","","","","(512) 342-8100","(512) 637-1740","N/A","Travis","500,000 or more","Austin-Round Rock-Georgetown, ","30.2660773448813","-97.7803789938896","","Personal Financing & Loans","","","No","6141003","Personal Financing & Loans","8711001","Engineers & Engineering Services","8699001","Membership Organizations","6162007","Real Estate Loans","","","","","","","","","","","","","522291","Consumer Lending","541330","Engineering Services","813990","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","522292","Real Estate Credit","","","","","","","","","","","","","No","10 to 24","Private","Yes","1,000 to 4,999","","No","2007","","","","93","11565000","9483300","7586640","8497037","21.95","25.0","-10.71","12","11","11","11","9.09","0.0","0.0","Rick","Crider","Executive Officer","Male","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$5,000 to $24,999","$5,000 to $14,999","$7,500 to $19,999","$15,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$5,000 to $9,999","$7,500 to $19,999","11132546696286","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Product Support Services","","511 S Royal Ln","511","S","Royal","Ln","","Coppell","TX","75019","3807","Cynthia Smith","Cynthia","","Smith","Executive Officer","Female","288","","$10,134,000","511 S Royal Ln","511","S","Royal","Ln","","Coppell","TX","75019","3807","(972) 462-3970","(972) 393-7144","(877) 777-8798","Dallas","25,000 to 49,999","Dallas-Fort Worth-Arlington, T","32.963508","-97.027457","","Membership Organizations","","","No","8699001","Membership Organizations","8322064","Social Services & Welfare Organizations","7629003","Electronic Equipment Service & Repair","","","","","","","","","","","","","","","813990","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","624190","Other Individual and Family Services","811210","Electronic and Precision Equipment Repair and Maintenance","","","","","","","","","","","","","","","No","100 to 499","Private","No","50,000 or more","www.productsupportservices.com","No","2007","","","","0","10134000","9424620","9990097","10889206","7.53","-5.66","-8.26","288","256","279","262","12.5","-8.24","6.49","Cynthia","Smith","Executive Officer","Female","Marketing & Advertising","Luis","Montano","Manager","Male","Administration & Operations","Steve","Conley","Manager","Male","Administration & Operations","Susan","Fortier","Manager","Female","Human Resources","Mike","McLaughlin","Manager","Male","Information Technology","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11132547167626","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Vandelay Education","","1335 E Whitestone Blvd Bldg W100","1335","E","Whitestone","Blvd","","Cedar Park","TX","78613","5034","Sam Gilkey","Sam","","Gilkey","Chief Executive Officer","Male","15","333","$9,500,000","1335 E Whitestone Blvd Bldg W100","1335","E","Whitestone","Blvd","","Cedar Park","TX","78613","5034","(512) 259-2100","N/A","N/A","Williamson","50,000 to 99,999","Austin-Round Rock-Georgetown, ","30.5260603","-97.8154485","","Management Consulting Services","Headquarters","","No","8742001","Management Consulting Services","8299006","Education Centers","8299002","Business Educational Services","8742032","Education Consultants","","","","","","","","","","","","","541611","Administrative Management and General Management Consulting Services","611699","All Other Miscellaneous Schools and Instruction","","","","","","","","","","","","","","","","","No","500 or more","Private","No","50,000 or more","www.vandelayeducation.com","No","2010","","","","0","9500000","8740000","7953400","7237594","8.7","9.89","9.89","333","340","279","279","-2.06","21.86","0.0","Sam","Gilkey","Chief Executive Officer","Male","Administration & Operations","Carly","Werling","Chief Operating Officer","Female","Administration & Operations","Kevin","Colten","Chief Technology Officer Chief Information Officer","Male","Information Technology","Kaitlin","Mottola","Executive Officer","Female","Administration & Operations","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11140016582555","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Hiatus Spa + Retreat","","5560 W Lovers Ln Ste 250","5560","W","Lovers","Ln","","Dallas","TX","75209","4282","Sheila Garrison","Sheila","","Garrison","Executive Officer","Female","100","500","$9,400,000","5560 W Lovers Ln Ste 250","5560","W","Lovers","Ln","","Dallas","TX","75209","4282","(214) 352-4111","N/A","N/A","Dallas","500,000 or more","Dallas-Fort Worth-Arlington, T","32.8501765","-96.8185783","","Beauty Salons","Headquarters","","No","7231001","Beauty Salons","8699001","Membership Organizations","7231002","Beauty & Day Spas","7299076","Massage Parlors","","","","","","","","","","","","","812112","Beauty Salons","813990","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","812990","All Other Personal Services","","","","","","","","","","","","","","","No","500 or more","Private","No","50,000 or more","www.hiatusspa.com","Yes","2006","","","","100","9400000","7520000","8121600","7959168","25.0","-7.41","2.04","500","450","477","553","11.11","-5.66","-13.74","Sheila","Garrison","Executive Officer","Female","Legal","Amber","McClain","Manager","Female","Administration & Operations","Alyssa","Woosley","Manager","Female","Administration & Operations","Andrea","Brooks","Other Contacts","Female","Health & Medical","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11132549768463","No","","","AtoZDatabases",
"AtoZDatabases","08/27/2024","02/27/2025","Pulse Network","Pulse Network LLC","1301 McKinney St Ste 600","1301","","McKinney","St","","Houston","TX","77010","3152","Vasilki Dolas-Amador","Vasilki","","Dolas-Amador","Owner","Unknown","222","","$7,837,000","1301 McKinney St Ste 600","1301","","McKinney","St","","Houston","TX","77010","3152","(713) 223-1400","(832) 214-0300","(800) 420-2122","Harris","500,000 or more","Houston-The Woodlands-Sugar La","29.7552841","-95.3617952","","Membership Organizations","Branch","","No","8699001","Membership Organizations","7373001","Computer Integrated Systems Design","6099025","Electronic Banking Services","","","","","","","","","","","","","","","813990","Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)","541512","Computer Systems Design Services","522390","Other Activities Related to Credit Intermediation","","","","","","","","","","","","","","","No","100 to 499","Public","No","10,000 to 49,999","www.pulsenetwork.com","No","1960","","","","100","7837000","8150480","7416937","6749413","-3.85","9.89","9.89","222","204","165","158","8.82","23.64","4.43","Vasilki","Dolas-Amador","Owner","Unknown","Administration & Operations","David","Schneider","President","Male","Administration & Operations","Holly","Pruitt","Manager","Female","Administration & Operations","Cissy","Noriega","Manager","Female","Legal","Tania","Lafont","Manager","Female","Production","April","Townsend","Manager","Female","Human Resources","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","","","","","NA","$100,000 or more","","$100,000 or more","","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","$100,000 or more","11132553119404","No","","Discover Financial Services","AtoZDatabases",
