Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - collectIndustries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"GIFQYG254210220","Abriendo Mentes","Guanacaste Literacy Inc.","3310 Crosspark Ln.","","","","Houston, TX 77007 USA","Houston","TX","77007","United States","832","(832)548-4493","","","info@abriendomentes.org","http://abriendomentes.org; http://www.facebook.com/Abriendomentes; http://www.linkedin.com/company/abriendo-mentes; http://twitter.com/abriendomentes","8322","Individual and Family Services","","","2009","","","","None Reported","None Reported","","","","","","None Reported","","","Rural Development; Community Development; Community Education; Human Development; Literacy; Social Welfare","07","Social Welfare Organizations","Meradith Leebrick","","","",""
"CFNLZP465574849","Accounting and Finance Benchmarking Consortium (AFBC)","4606 FM 1960 Rd. W, Ste. 250","","","","","Houston, TX 77069-9949 USA","Houston","TX","77069-9949","United States","281","(281)440-5044","","","","http://www.afbc.org","","","8721; 8743; 8748; 8743; 8748","Accounting, Auditing and Bookkeeping; Public Relations Services; Business Consulting Services Nec; Public Relations Services; Business Consulting Services Nec","1998","14","2000000","4900","None Reported","None Reported","","","","","","None Reported","","","Business; Accounting","01","Trade, Business, and Commercial Organizations","","","","",""
"HQWOJC406747125","ADSC: The International Association of Foundation Drilling","8445 Freeport Pky., Ste. 325","","","","","Irving, TX 75063 USA","Irving","TX","75063","United States","469","(469)359-6000","","(469)359-6007","adsc@adsc-iafd.com","http://www.adsc-iafd.com; http://www.facebook.com/adsc.iafd; http://www.linkedin.com/in/adsc-iafd-45505b2a; http://twitter.com/ADSC_IAFD","2731; 2741; 2721","Book Publishing; Miscellaneous Publishing; Periodicals","1381","Drilling Oil and Gas Wells","1971","6","725000","","Yes","Yes","Recognition; Scholarship","","Membership directory; Magazine; Directory; Catalog","8/year; January, February/ March, April, May/June, July, August/September, October, November/December; Latest Edition 2015; annual; latest edition 2007-2008; New edition expected 2014; periodic","No","Yes","meeting","","Contractors","01","Trade, Business, and Commercial Organizations","Mike Moore","","","",""
"HFFPVI447229496","Aesthetics International Association (AIA)","310 E Interstate 30, Ste. B107","","","","","Garland, TX 75043 USA","Garland","TX","75043","United States","","","877-968-7539","","","http://www.aestheticsassociation.com","","","7231","Beauty Shops","1972","2","","","None Reported","None Reported","","","Journal; Magazine","bimonthly","Yes","None Reported","","","Cosmetology","01","Trade, Business, and Commercial Organizations","Melissa Lawrence","","","",""
"KTVSXU502066063","Air Weather Reconnaissance Association (AWRA)","c/o Bernie Barris, Membership Chairman","11019 Oaktree Park","","","","San Antonio, TX 78249-4440 USA","San Antonio","TX","78249-4440","United States","760","(760)793-4733","","","","http://www.awra.us","","","8322","Individual and Family Services","1992","","","697","None Reported","None Reported","","","","","","None Reported","","","Veterans","12","Veterans', Hereditary, and Patriotic Organizations","","","","",""
"HIGMZR124139023","Alport Syndrome Hope for the Cure Foundation","2560 King Arthur Blvd., Ste. 124-76","","","","","Lewisville, TX 75056 USA","Lewisville","TX","75056","United States","469","(469)951-6533","","","","","","","","","2009","","","","None Reported","None Reported","","","","","","None Reported","","","Genetic Disorders; Kidney; Disease; Health","08","Health and Medical Organizations","Jodi De Serrano","","","",""
"CFYSAD996841511","Amanda Jimeno Foundation","440 Cobia Dr., Ste. 1204","","","","","Katy, TX 77494 USA","Katy","TX","77494","United States","281","(281)920-2668","","(281)920-2054","info@amandajf.org","http://www.amandajf.org","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Cancer; Child Health; Health Education; Medical Aid; Peru","08","Health and Medical Organizations","Julio M. Jimeno-Nieto","","","",""
"QUQKAD781688252","Americal Division Veterans Association (ADVA)","c/o Roger Gilmore, PO Box 830662","","","","","Richardson, TX 75080 USA","Richardson","TX","75080","United States","830","(830)377-8115","","","gilmoraces@aol.com","http://americal.org/cmsaml","2741","Miscellaneous Publishing","8412","Museums and Art Galleries","1945","3","50233","","None Reported","Yes","Scholarship","","","","","None Reported","","","World War II","12","Veterans', Hereditary, and Patriotic Organizations","Gary Noller","","","",""
"SHVMHJ540555943","American Angora Goat Breeder's Association (AAGBA)","PO Box 195","","","","","Rocksprings, TX 78880 USA","Rocksprings","TX","78880","United States","830","(830)683-4483","","(830)683-2559","aagba@swtexas.net","http://www.aagba.org","","","0214","Sheep and Goats","1900","1","","2064","None Reported","None Reported","","","","","","None Reported","","","Animal Breeding","02","Environmental and Agricultural Organizations","Kim Turner","","","",""
"IKDTUH425527810","American APS Association (AAPSA)","6942 FM 1960 E, No. 363","","","","","Humble, TX 77346 USA","Humble","TX","77346","United States","281","(281)812-3384","","","","http://www.facebook.com/AAPSA","","","","","","","","","None Reported","None Reported","","","","","","None Reported","","","Autoimmune Disorders; Health Care; Health Services; Health","08","Health and Medical Organizations","Seresa Crowson","","","",""
