Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Publishers Directory") And Edition (41)  LIMITS: Database (Publishers Directory)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,Annual Sales,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"JYIDEU900885068","101 Audio Book Distributors","3807 Kirk St.","","","","","Skokie, IL 60076-3419 USA","Skokie","IL","60076-3419","United States","1; 847","(847)677-2705","","","","","15083000","Anthony Rynerson","","","",""
"FGSTTP080180124","101 Things To Do","2383 Myrtle Ave.","","","","","Eureka, CA 95501 USA","Eureka","CA","95501","United States","707","(707)443-1234","800-640-8439","","info@101things.com","http://www.101things.com","700000","David Else","Art Severe","Steve Hammons","Nate Kaplan","Margot Else"
"ZWXXUX124015595","1 Distribution","6207 Santa Monica Blvd.","","","","","Los Angeles, CA 90038-1703 USA","Los Angeles","CA","90038-1703","United States","323","(323)468-0122","","","sales@1distribution.net","http://1distribution.net","","","","","",""
"VCHLRA793671398","2.13.61 Publications","7510 Sunset Blvd., Ste. 602","","","","","Los Angeles, CA 90046 USA","Los Angeles","CA","90046","United States","","","","","","http://www.henryrollins.com","","","","","",""
"XUISQD290996810","211 Info","621 SW Alder St., Ste. 810","","","","","Portland, OR 97205 USA","Portland","OR","97205","United States","503","(503)226-3099","","","","http://www.211info.org","824000","Vic Falgout","Randy Blackburn","Leroy Patton","Laura Kuperstein","Joan R. Lewis"
"RUHMGT755259594","21st Century King James Bible Publishers","1111 N Coteau St.","","","","","Gary, SD 57237 USA","Gary","SD","57237","United States","605","(605)272-5575","800-225-5521","(605)272-5306","kj21@kj21.com","http://www.kj21.com","","William D. Prindle","","","",""
"TQPQYG703465062","21st Street Urban Editing & Publishing","PO Box 637","","","","","Zion, IL 60099-0637 USA","Zion","IL","60099-0637","United States","","","888-338-9992","","info@21streeturbanediting.com","http://www.21streeturbanediting.com","","Niccole Simmons","","","",""
"BSWRXL084543487","3 Palms Publishing Group L.L.C.","1726 SE 44th Terr.","","","","","Cape Coral, FL 33904-7438 USA","Cape Coral","FL","33904-7438","United States","","","","","submissions@3palmspublishing.com","","","","","","",""
"GLTPOD703601656","4N Publishing","44-73 21st St.","","","","","Long Island City, NY 11101 USA","Long Island City","NY","11101","United States","","","","","","http://www.4npublishing.com","","","","","",""
"LTENFF980737565","95 Percent Group","475 Half Day Rd., Ste. 350","","","","","Lincolnshire, IL 60069-2902 USA","Lincolnshire","IL","60069-2902","United States","847","(847)499-8200","","(847)793-0033","","http://www.95percentgroup.com","","Susan L. Hall","","","",""
"LGWYYI580253089","9mm Books","6366 Commerce Blvd., Ste. 108","","","","","Rohnert Park, CA 94928 USA","Rohnert Park","CA","94928","United States","707","(707)315-3002","","","","http://9mmbooks.com","","","","","",""
"CXBMSD833303601","AAAI Press","2275 E Bayshore Rd., Ste. 160","","","","","Palo Alto, CA 94303 USA","Palo Alto","CA","94303","United States","650","(650)328-3123","","(650)321-4457","","http://www.aaai.org","5538000","Manuela Veloso","Anthony G. Cohn","","",""
"ZXGMIR766181839","AACC Press","1850 K St. NW, Ste. 625","","","","","Washington, DC 20006-2213 USA","Washington","DC","20006-2213","United States","202","(202)857-0717","800-892-1400","(202)887-5093","custserv@aacc.org","http://www.aacc.org","2000000","Nori Jones","Nancy Sasavage","Vince Stine","Scott May","Richard Flaherty"
