Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: National Organizations of the U.S.") And Edition (57)  LIMITS: Database (Encyclopedia of Associations: National Organizations of the U.S...."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"GIFQYG254210220","Abriendo Mentes","Guanacaste Literacy Inc.","3310 Crosspark Ln.","","","","Houston, TX 77007 USA","Houston","TX","77007","United States","832","(832)548-4493","","","info@abriendomentes.org","http://abriendomentes.org; http://www.facebook.com/Abriendomentes; http://www.linkedin.com/company/abriendo-mentes; http://twitter.com/abriendomentes"
"CFNLZP465574849","Accounting and Finance Benchmarking Consortium (AFBC)","4606 FM 1960 Rd. W, Ste. 250","","","","","Houston, TX 77069-9949 USA","Houston","TX","77069-9949","United States","281","(281)440-5044","","","","http://www.afbc.org"
"HQWOJC406747125","ADSC: The International Association of Foundation Drilling","8445 Freeport Pky., Ste. 325","","","","","Irving, TX 75063 USA","Irving","TX","75063","United States","469","(469)359-6000","","(469)359-6007","adsc@adsc-iafd.com","http://www.adsc-iafd.com; http://www.facebook.com/adsc.iafd; http://www.linkedin.com/in/adsc-iafd-45505b2a; http://twitter.com/ADSC_IAFD"
"HFFPVI447229496","Aesthetics International Association (AIA)","310 E Interstate 30, Ste. B107","","","","","Garland, TX 75043 USA","Garland","TX","75043","United States","","","877-968-7539","","","http://www.aestheticsassociation.com"
"KTVSXU502066063","Air Weather Reconnaissance Association (AWRA)","c/o Bernie Barris, Membership Chairman","11019 Oaktree Park","","","","San Antonio, TX 78249-4440 USA","San Antonio","TX","78249-4440","United States","760","(760)793-4733","","","","http://www.awra.us"
"HIGMZR124139023","Alport Syndrome Hope for the Cure Foundation","2560 King Arthur Blvd., Ste. 124-76","","","","","Lewisville, TX 75056 USA","Lewisville","TX","75056","United States","469","(469)951-6533","","","",""
"CFYSAD996841511","Amanda Jimeno Foundation","440 Cobia Dr., Ste. 1204","","","","","Katy, TX 77494 USA","Katy","TX","77494","United States","281","(281)920-2668","","(281)920-2054","info@amandajf.org","http://www.amandajf.org"
"QUQKAD781688252","Americal Division Veterans Association (ADVA)","c/o Roger Gilmore, PO Box 830662","","","","","Richardson, TX 75080 USA","Richardson","TX","75080","United States","830","(830)377-8115","","","gilmoraces@aol.com","http://americal.org/cmsaml"
"SHVMHJ540555943","American Angora Goat Breeder's Association (AAGBA)","PO Box 195","","","","","Rocksprings, TX 78880 USA","Rocksprings","TX","78880","United States","830","(830)683-4483","","(830)683-2559","aagba@swtexas.net","http://www.aagba.org"
"IKDTUH425527810","American APS Association (AAPSA)","6942 FM 1960 E, No. 363","","","","","Humble, TX 77346 USA","Humble","TX","77346","United States","281","(281)812-3384","","","","http://www.facebook.com/AAPSA"
"ITXNCQ754985842","American Association for Hyperbaric Awareness (AAHA)","304 Coit Rd., Ste. 900","","","","","Plano, TX 75075 USA","Plano","TX","75075","United States","972","(972)312-1806","","(972)312-9401","info@hyperaware.org","http://www.hyperaware.org"
"FYRFYE402513517","American Association for Respiratory Care (AARC)","9425 N MacArthur Blvd., Ste. 100","","","","","Irving, TX 75063-4706 USA","Irving","TX","75063-4706","United States","972","(972)243-2272","","(972)484-2720","info@aarc.org","http://www.aarc.org; http://www.facebook.com/aarc.org; http://www.linkedin.com/company/3218156; http://twitter.com/aarc_tweets"
"MPXBMP190050360","American Association of Anthropological Genetics (AAAG)","c/o Ellen Quillen, Secretary/Treasurer","Texas Biomedical Research Institute","Dept. of Genetics","","","San Antonio, TX 78245 USA","San Antonio","TX","78245","United States","","","","","","http://www.anthgen.org; http://www.facebook.com/AAAGenetics"
"FNOJHQ495522145","American Association of Certified Wedding Planners (AACWP)","210 W College St., Ste. 400","","","","","Grapevine, TX 76051 USA","Grapevine","TX","76051","United States","","","844-202-2297","","","http://aacwp.org; http://twitter.com/aacwp"
"GNOJFV060517666","American Association of Community Psychiatrists (AACP)","c/o Francis M Roton , Administrative Director","PO Box 570218","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985; (972)613-3997","","(972)613-5532","francesrotonbell@gmail.com","http://www.communitypsychiatry.org; http://www.facebook.com/American-Association-of-Community-Psychiatrists-AACP-172485739476134/?ref=page_internal; http://twitter.com/aacp123"
"WALUZR843579403","American Association of Community Theatre (AACT)","1300 Gendy St.","","","","","Fort Worth, TX 76107 USA","Fort Worth","TX","76107","United States","817","(817)732-3177","866-687-2228","(817)732-3178","info@aact.org","http://www.aact.org; http://www.facebook.com/AACT.org; http://www.linkedin.com/groups/3666930/profile; http://twitter.com/AACT5"
"TQZJYA973456283","American Association of Drugless Practitioners (AADP)","2200 Market St., Ste. 803","","","","","Galveston, TX 77550-1530 USA","Galveston","TX","77550-1530","United States","409","(409)621-2600","888-764-2237","(775)703-5334","join@aadp.net","http://www.aadp.net"
"NTKIGT423527344","American Association of Psychiatric Administrators (AAPA)","c/o Frances M. Bell, Executive Director","PO Box 570218","","","","Dallas, TX 75357-0218 USA","Dallas","TX","75357-0218","United States","972","(972)613-0985","","(972)613-5532","frda1@airmail.net","http://www.psychiatricadministrators.org"
"IJDHXP758373377","American Board of Forensic Document Examiners (ABFDE)","7887 San Felipe St., Ste. 122","","","","","Houston, TX 77063 USA","Houston","TX","77063","United States","713","(713)784-9537","","(713)784-3985","corporateassets@yahoo.com","http://www.abfde.org"
"NEUGTS095095218","American Clinical and Climatological Association (ACCA)","c/o Richard A. Lange, MD, 5001 El Paso Dr.","","","","","El Paso, TX 79905 USA","El Paso","TX","79905","United States","210; 915","(210)567-4812; (915)215-4303","","(210)567-4654","richard.lange@ttuhsc.edu","http://www.accasociety.org"
"PNPRWW935558395","American College of Construction Lawyers (ACCL)","PO Box 4646","","","","","Austin, TX 78765-4646 USA","Austin","TX","78765-4646","United States","512","(512)343-1808","","","contact@accl.org","http://www.accl.org"
"GAHBPN680007609","American College of Osteopathic Obstetricians and Gynecologists (ACOOG)","8851 Camp Bowie W, Ste. 275 ","","","","","Fort Worth, TX 76116 USA","Fort Worth","TX","76116","United States","817","(817)377-0421","800-875-6360","(817)377-0439","info@acoog.org","http://www.acoog.org; http://www.facebook.com/ACOOG; http://www.linkedin.com/company/10341899; http://twitter.com/ACOOG1934"
"HOHFMO152177928","American Collegiate Retailing Association (ACRA)","c/o Robert Jones, Secretary","University of Texas at Tyler","Business Bldg. 122","3900 University Blvd. ","","Tyler, TX 75799 USA","Tyler","TX","75799","United States","","","","","","http://acraretail.org; http://www.facebook.com/acraretail; http://www.twitter.com/ACRAConf"
"MAPOKK565707520","American Coon Hunters Association (ACHA)","PO Box 472029","","","","","Fort Worth, TX 76147 USA","Fort Worth","TX","76147","United States","484","(484)234-0582","855-946-2242","","achahunt@gmail.com","http://worldhunt.org"
"MGEOLL154969361","American Council for Construction Education (ACCE)","1717 N Loop 1604 E, Ste. 320","","","","","San Antonio, TX 78232-1570 USA","San Antonio","TX","78232-1570","United States","210","(210)495-6161","","(210)495-6168","acce@acce-hq.org","http://www.acce-hq.org"
"JDIADD075388061","American Council of Spotted Asses (ACOSA)","2933 Silvercrest Ln.","","","","","Grapevine, TX 76051 USA","Grapevine","TX","76051","United States","","","","","acosa@spottedass.com","http://www.spottedass.com"
"ZZRREJ212601076","American Donkey and Mule Society (ADMS)","PO Box 1210","","","","","Lewisville, TX 75067 USA","Lewisville","TX","75067","United States","972","(972)219-0781","","","lovelongears@hotmail.com","http://www.lovelongears.com"
"TCZPUR502391395","American Drum Horse Association (ADHA)","6700 Kuykendall Rd.","","","","","Bellville, TX 77418 USA","Bellville","TX","77418","United States","832","(832)558-1630","","","IDHADrumhorse@yahoo.com","http://www.drumhorseassociation.com; http://www.facebook.com/International-Drum-Horse-Association-13990249775"
"BAHIHC474124044","American Federation of Aviculture (AFA)","PO Box 91717","","","","","Austin, TX 78709 USA","Austin","TX","78709","United States","512","(512)585-9800","","(512)858-7029","afaoffice@earthlink.net","http://www.afabirds.org; http://www.facebook.com/pages/American-Federation-of-Aviculture/202528641356"
"FACWPG233669746","American Goat Society","PO Box 63748","","","","","Pipe Creek, TX 78063 USA","Pipe Creek","TX","78063","United States","830","(830)535-4247","","(830)535-4561","agsgoat@live.com","http://www.americangoatsociety.com"
"YTRLNJ394789314","American Heart Association-Council on Arteriosclerosis, Thrombosis and Vascular Biology","c/o American Heart Association","7272 Greenville Ave.","","","","Dallas, TX 75231 USA","Dallas","TX","75231","United States","","","800-242-8721","","","http://www.heart.org/HEARTORG"
