Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Gale Directory of Publications and Broadcast Media") And Edition (154)  LIMITS: Database (Gale Directory of Publications and Broadcast Media)"

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL
"MRMRZN435593947","100.3 The Q! (CKKQ-FM) 100.3","Top Fl., 2750 Quadra St.","2750 Quadra St.","","","","Victoria, BC, Canada V8T 4E8","Victoria","BC","V8T 4E8","Canada","250","(250)475-0100","800-717-1003","(250)475-3299","mysong@theq.fm; rockline@theq.fm","http://www.theq.fm"
"BPOIDR858443677","100 Jamz Radio-FM","Radio House, Shirely St. & School Ln.","","","","","Nassau, Bahamas","Nassau","","","Bahamas","","(242)677-0950","","(242)356-5343","","http://100jamz.com"
"XBTRWA206789486","104-FM 104 MHz","Macken House, Mayor St. Upper","","","","","North Wall 1, Ireland","North Wall","","1","Ireland","","353 150-06600","","353 166-89545","info@FM104.ie.If; reception@fm104.ie; sales@fm104.ie","http://www.fm104.ie"
"ZTLBTG337970878","107.3 Mi Emisora 107.3","PO Box 363222","","","","","San Juan, Puerto Rico 00936-3222 USA","San Juan","PR","00936-3222","United States","787","(787)474-0630","","(787)282-0932","",""
"WAABPM424791592","14850 Magazine","757 Warren Rd., Ste. 4233","","","","","Ithaca, NY 14852 USA","Ithaca","NY","14852","United States","607","(607)241-0951","","","","http://magazine.14850.com/magazine"
"HGZFUY036119216","19th Century","1636 Sansom St.","","","","","Philadelphia, PA 19103 USA","Philadelphia","PA","19103","United States","215","(215)636-9872","","(215)636-9873","info@victoriansociety.org","http://www.victoriansociety.org/index.php?option=com_content%26view=article%26id=62%26Itemid=75"
"JKGOZO604278961","19th-Century Music","Journals Fulfillment Dept., Ste. 400","155 Grand Ave.","","","","Oakland, CA 94612-3758 USA","Oakland","CA","94612-3758","United States","510","(510)883-8232","","(510)836-8910","customerservice@ucpressjournals.com","http://ncm.ucpress.edu"
"OKHYNQ404901047","1CMS-FM 91.1","Grant Cammeron Ctr., Level 2A","27 Mulley St.","","","","Holder, ACT 2611, Australia","Holder","","2611","Australia","","61 2 6287-7058","","","info@cmsradio.org.au","http://cmsradio.org.au"
"OIZTRI839892387","20/20","55 Standish Ct., Ste. 620","","","","","Mississauga, ON, Canada L5R 4B2","Mississauga","ON","L5R 4B2","Canada","613","(613)238-8888","","(613)563-9218","national@cme-mec.ca","http://www.2020magazine.ca; http://www.cme-mec.ca/?action=show%26lid=QIHYT-7SIZA-35V5S"
"ZDODVY715778252","24 Heures","Av. de la Gare 33","","","","","CH-1001 Lausanne, Switzerland","Lausanne","","CH-1001","Switzerland","","41 21 588-0420","","41 21 588-0418","group@edipresse.com","http://www.24heures.ch"
"DKCFFZ129014397","2ABC-FM 101.9 MHz","ABC Ultimo Ctr.","700 Harris St.","","","","Ultimo, NSW 2007, Australia","Ultimo","","2007","Australia","","61 2 8333-1500","","","abc.contentsales@abc.net.au","http://abc.net.au; http://www.abc.net.au"
"ZRKRPC875530169","2BBB-FM 107.3","52 Wheatley St.","","","","","Bellingen, NSW 2454, Australia","Bellingen","","2454","Australia","","61 2 6655-0718","","","radio@2bbb.net.au","http://2bbb.net.au"
"KSXACD705335020","2BL-AM 702 KHz","700 Harris St.","","","","","Ultimo, NSW 2007, Australia","Ultimo","","2007","Australia","","61 2 8333-1234","","61 2 8333-1203","abc.contentsales@abc.net.au","http://www.abc.net.au"
"IECNTW343130012","2BR-FM 99.8","2BR, 2A Petre Ct., Clayton-le-Moors","Lancashire","","","","Accrington BB5 5HY, United Kingdom","Accrington","","BB5 5HY","United Kingdom","","","","","studio@2br.co.uk","http://www.2br.co.uk; http://www.thelocalradiocompany.com"
"RGGZNI508606951","2CHR-FM 96.5","Old School of Arts","2-4 Vincent St.","","","","Cessnock, NSW 2325, Australia","Cessnock","","2325","Australia","","61 2499-11286","","61 2499-11757","secretary@2chr.org; sport@2chr.org; requests@2chr.org","http://www.2chr.org"
"GWWOWF283914706","2CHY-FM 104.1 MHz","Cruickshank Ctr.,30 Orlando St.","","","","","Coffs Harbour, NSW 2450, Australia","Coffs Harbour","","2450","Australia","","61 2 6651-1104","","61 2 6651-3100","","http://www.chyfm.com"
"TLRLNX630421906","2DU-AM 972 KHz","33 Carrington Ave.","","","","","Dubbo, NSW 2830, Australia","Dubbo","","2830","Australia","","61 2 6882-2722","","","","http://www.2du.com.au"
"WQZTSZ767955384","2-FM 90.0","14 Nutley Ln.","Donnybrook","","","","Dublin 4, Ireland","Dublin","","4","Ireland","","353 1 850715922","","","","http://2fm.rte.ie; http://www.rte.ie"
"IPKMRW449440183","2GLF-FM 89.3","Ste. 201-161/169 Bigge St.","","","","","Liverpool, NSW 2170, Australia","Liverpool","","2170","Australia","","61 2 9822-8893","","","office@893fm.com.au","http://www.893fm.com.au"
"VQGPLI714879369","2HD-AM 1143","173-175 Maitland Rd.","","","","","Sandgate, NSW 2304, Australia","Sandgate","","2304","Australia","","61 2 4967-6111","","61 2 4967-2129","mail@2hd.com.au","http://www.2hd.com.au"
"GVUOHL652995055","2HHH-FM 100.1","Unit 17, 75 Pacific Hwy.","","","","","Waitara, NSW 2077, Australia","Waitara","","2077","Australia","","61 2 9489-3934","","","info@triplehfm.com.au","http://www.triplehfm.com.au"
"ZUZYCW319572187","2LT 101.1 900","289 Main St.","","","","","Lithgow, NSW 2790, Australia","Lithgow","","2790","Australia","","61 02 6352 2900","","61 02 6352 1569","mail@2lt.com.au","http://www.2lt.com.au; http://www.midwestradionetwork.com"
"GWLJMY636921640","2MCE-FM 92.3","Charles Sturt University","Panorama Ave.","","","","Bathurst, NSW 2795, Australia","Bathurst","","2795","Australia","","","","","admissions@csu.edu.au","http://www.csu.edu.au"
"DZTNZT626725886","2MFM Muslim Community Radio-FM 92.1","PO Box 204","","","","","Bankstown, NSW 1885, Australia","Bankstown","","1885","Australia","","61 2 97072747","","61 2 297081050","contactus@2mfm.org","http://www.2mfm.org"
"VKTCJD916027770","2MRR-FM 95.5 MHz","51 Lord St.","","","","","Port Macquarie, NSW 2444, Australia","Port Macquarie","","2444","Australia","","61 2 6588-1211","","61 2 6588-1299","","http://www.abc.net.au"
"CYEXUB014974860","2NIM-FM 102.3","81 Cullen St.","","","","","Nimbin, NSW 2480, Australia","Nimbin","","2480","Australia","","61 2668-90279","","","","http://www.nimfm.org"
"ULCXLX829224665","2NNR-FM 94.5 KHz","61 High St.","","","","","Lismore, NSW 2480, Australia","Lismore","","2480","Australia","","61 2 6627-2011","","61 2 6627-2099","privacy.abc@abc.net.au","http://www.abc.net.au"
"XWZTSO796482370","2NU-AM 648 KHz","470 Peel St., Level 1, Parry Shire Bldg.","","","","","Tamworth, NSW 2340, Australia","Tamworth","","2340","Australia","","61 2 6760-2411","","61 2 6760-2499","abc.contentsales@abc.net.au","http://www.abc.net.au"
